PID   USER     TIME   COMMAND
    1 root       0:01 /init
    2 root       0:00 [kthreadd]
    3 root       0:00 [ksoftirqd/0]
    4 root       0:00 [kworker/0:0]
    5 root       0:00 [kworker/u:0]
    6 root       0:00 [migration/0]
    7 root       0:00 [migration/1]
    8 root       0:00 [kworker/1:0]
    9 root       0:00 [ksoftirqd/1]
   10 root       0:00 [migration/2]
   11 root       0:00 [kworker/2:0]
   12 root       0:00 [ksoftirqd/2]
   13 root       0:00 [migration/3]
   14 root       0:00 [kworker/3:0]
   15 root       0:00 [ksoftirqd/3]
   16 root       0:00 [khelper]
   17 root       0:00 [suspend_sys_syn]
   18 root       0:00 [suspend]
   19 root       0:00 [kworker/0:1]
   20 root       0:00 [kworker/1:1]
   21 root       0:00 [kworker/2:1]
   22 root       0:00 [kworker/3:1]
   23 root       0:00 [pm8921_v3_post_]
   24 root       0:00 [irq/203-msmdata]
   25 root       0:00 [sync_supers]
   26 root       0:00 [bdi-default]
   27 root       0:00 [kblockd]
   28 root       0:00 [mhl_msc_command]
   29 root       0:00 [mhl_rap_command]
   30 root       0:00 [mhl_scratchpad]
   31 root       0:00 [mhl_usb_online]
   32 root       0:00 [msm_slim_ctrl_r]
   33 root       0:00 [sb-1]
   34 root       0:00 [khubd]
   35 root       0:00 [irq/84-msm_iomm]
   36 root       0:00 [irq/84-msm_iomm]
   37 root       0:00 [irq/96-msm_iomm]
   38 root       0:00 [irq/96-msm_iomm]
   39 root       0:00 [irq/94-msm_iomm]
   40 root       0:00 [irq/94-msm_iomm]
   41 root       0:00 [irq/92-msm_iomm]
   42 root       0:00 [irq/92-msm_iomm]
   43 root       0:00 [irq/100-msm_iom]
   44 root       0:00 [irq/100-msm_iom]
   45 root       0:00 [irq/86-msm_iomm]
   46 root       0:00 [irq/86-msm_iomm]
   47 root       0:00 [irq/90-msm_iomm]
   48 root       0:00 [irq/90-msm_iomm]
   49 root       0:00 [irq/88-msm_iomm]
   50 root       0:00 [irq/102-msm_iom]
   51 root       0:00 [irq/102-msm_iom]
   52 root       0:00 [irq/98-msm_iomm]
   53 root       0:00 [irq/98-msm_iomm]
   54 root       0:00 [irq/243-msm_iom]
   55 root       0:00 [irq/243-msm_iom]
   56 root       0:00 [irq/269-msm_iom]
   57 root       0:00 [irq/269-msm_iom]
   58 root       0:00 [l2cap]
